 Time,Stitch's Great Escape! - Temporarily Closed,"Monsters, Inc. Laugh Floor",Walt Disney World Railroad - Frontierland,Walt Disney's Enchanted Tiki Room,Sorcerers of the Magic Kingdom,The Barnstormer,Walt Disney World Railroad - Fantasyland,Casey Jr. Splash 'N' Soak Station,Cinderella Castle,Under the Sea - Journey of The Little Mermaid,Enchanted Tales with Belle,Seven Dwarfs Mine Train ,A Pirate's Adventure - Treasures of the Seven Seas,Allergy-Friendly Trick-Or-Treat Experience – Mickey's Not-So-Scary Halloween Party,Treat Locations for Mickey's Not-So-Scary Halloween Party,Pirate and Princess Adventures at Walt Disney World,Pirates at Walt Disney World Resort,Pirates at Walt Disney World,Horses - Disney Animals,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,Frontierland Shootin' Arcade,"""it's a small world""",Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Main Street Vehicles,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Swiss Family Treehouse,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tom Sawyer Island,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,"Walt Disney World Railroad - Main Street, U.S.A",Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents,,Unnamed: 48
2/1/2018 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 0:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 0:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 0:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 0:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 1:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 1:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2/1/2018 1:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
